initial_maturity,time_in_minute,temperature,humidity,current_maturity
85,26280,27.61905751,54.0161318,100
85,26300,27.55500918,53.53892761,100
85,26320,27.51525654,53.45022734,100
85,26340,27.47223986,53.34559083,100
85,26360,27.41751982,53.34907943,100
85,26380,27.36313767,53.16114272,100
85,26400,27.31675656,53.05789456,100
85,26420,27.26169531,53.15654575,100
85,26440,27.22634392,53.18719577,100
85,26460,27.17458973,52.84586062,100
85,26480,27.12919864,52.53574768,100
85,26500,27.03368516,53.05306642,100
85,26520,26.95967744,54.04959298,100
85,26540,26.95884083,54.61604467,100
85,26560,26.94767196,54.45327999,100
85,26580,26.92166448,54.74051127,100
85,26600,26.8839015,56.09076318,100
85,26620,26.92228136,56.4898226,100
85,26640,26.96201879,56.16711712,100
85,26660,26.97315697,56.67331098,100
85,26680,26.95367444,56.73192821,100
85,26700,26.96536479,56.73866087,100
85,26720,26.95694692,56.77298099,100
85,26740,26.94398259,56.36387776,100
85,26760,26.94230864,56.38396825,100
85,26780,26.93251701,56.67213404,100
85,26800,26.93022763,56.60089832,100
85,26820,26.94405874,56.32806705,100
85,26840,26.94874423,55.27550165,100
85,26860,26.9688846,54.56932041,100
85,26880,26.97164741,54.22394625,100
85,26900,27.00138448,53.81322751,100
85,26920,27.00036664,53.81263058,100
85,26940,27.02409495,53.68224095,100
85,26960,27.01004854,53.60243677,100
85,26980,26.99080384,53.82748572,100
85,27000,27.00693962,53.73775404,100
85,27020,27.03693461,54.05650211,100
85,27040,27.07602293,52.82689594,100
85,27060,27.0468923,52.16978464,100
85,27080,26.9844709,52.43633157,100
85,27100,26.99654882,53.14028379,100
85,27120,27.08800219,53.43432464,100
85,27140,27.14343664,53.91313871,100
85,27160,27.18079026,53.65325407,100
85,27180,27.19040667,53.68351995,100
85,27200,27.16909171,53.97939669,100
85,27220,27.16263001,53.92700319,100
85,27240,27.16595893,53.61817388,100
85,27260,27.15522928,53.00511464,100
85,27280,27.10656085,52.96693122,100
85,27300,27.08684303,52.30714286,100
85,27320,27.08705467,51.65846561,100
85,27340,27.05234244,51.79831562,100
85,27360,26.88317587,51.03371149,100
85,27380,26.87674205,50.75414959,100
85,27400,26.83762553,50.47222713,100
85,27420,26.81723855,50.32633313,100
85,27440,26.78867653,49.9933495,100
85,27460,26.79536606,50.03509799,100
85,27480,26.79174409,49.85056858,100
85,27500,26.82014688,49.72325547,100
85,27520,26.81515626,49.95250145,100
85,27540,27.56695771,52.44793954,100
85,27560,27.57362269,52.47307643,100
85,27580,27.56855439,53.80030198,100
85,27600,27.54506993,54.69797952,100
85,27620,27.54763495,54.56884502,100
85,27640,27.51522908,54.5398878,100
85,27660,27.48668898,54.62968065,100
85,27680,27.47403376,54.43571642,100
85,27700,27.45216152,53.51356192,100
85,27720,27.37019271,53.19039401,100
85,27740,27.31627217,52.74141793,100
85,27760,27.26069002,52.64417516,100
85,27780,27.21457042,52.51929957,100
85,27800,27.15825017,52.49947702,100
85,27820,27.10152241,52.30982449,100
85,27840,27.05684877,52.17992182,100
85,27860,26.99921512,52.26246738,100
85,27880,26.96740892,52.28139834,100
85,27900,26.91474276,51.91246504,100
85,27920,26.87265559,51.58053703,100
85,27940,26.76825923,52.13736691,100
85,27960,26.69316941,53.22089665,100
85,27980,26.69621128,53.86263558,100
85,28000,26.69337113,53.73893375,100
85,28020,26.66958248,54.08745194,100
85,28040,26.63700892,55.65246099,100
85,28060,26.68419457,56.09551154,100
85,28080,26.73963696,55.71302037,100
85,28100,26.75635928,56.25891625,100
85,28120,26.74163322,56.34310314,100
85,28140,26.76067902,56.38022579,100
85,28160,26.76071711,56.45483541,100
85,28180,26.75053284,55.98461864,100
85,28200,26.75734744,56.01024943,100
85,28220,26.75382896,56.34619552,100
85,28240,26.76126544,56.36002136,100
85,28260,26.78279611,56.08788437,100
85,28280,26.79830271,54.8862876,100
85,28300,26.82766706,54.07790058,100
85,28320,26.83889455,53.68844185,100
85,28340,26.87618544,53.22966742,100
85,28360,26.88322325,53.29644553,100
85,28380,26.91325137,53.20560514,100
85,28400,26.90113018,53.11444937,100
85,28420,26.88949011,53.36897839,100
85,28440,26.907931,53.26637845,100
85,28460,26.94221099,53.82735235,100
85,28480,26.99362938,53.14475939,100
85,28500,26.99972489,52.260881,100
85,28520,26.95473923,52.35713026,100
85,28540,26.98664021,53.00610355,100
85,28560,27.0990961,53.27962224,100
85,28580,27.15384356,53.73266273,100
85,28600,27.19199159,53.37582779,100
85,28620,27.19601294,53.42236168,100
85,28640,27.15753338,53.48588732,100
85,28660,27.12949221,53.16947083,100
85,28680,27.11823878,52.84934157,100
85,28700,27.10597632,52.14870244,100
85,28720,27.05035525,52.10506425,100
85,28740,27.01657061,51.30816327,100
85,28760,26.99353867,50.9271353,100
85,28780,26.94606332,51.06315435,100
85,28800,26.84362956,50.78019408,100
85,28820,26.84484806,50.34998048,100
85,28840,26.80109584,50.10159291,100
85,28860,26.79041548,49.96580929,100
85,28880,26.77146365,49.66858991,100
85,28900,26.7802993,49.75558818,100
85,28920,26.78318372,49.57684028,100
85,28940,26.82302501,49.43491102,100
85,28960,26.82041668,49.60404927,100
85,28980,27.24375769,51.69803837,100
85,29000,27.25900794,51.64912439,100
85,29020,27.26720763,53.08238968,100
85,29040,27.25085319,53.93530556,100
85,29060,27.25129447,53.76282157,100
85,29080,27.21594964,53.67389294,100
85,29100,27.18478741,53.65469996,100
85,29120,27.1703243,53.59279956,100
85,29140,27.14616079,53.05478505,100
85,29160,27.07176786,53.08902173,100
85,29180,27.03490629,52.75090621,100
85,29200,26.98983621,52.79810494,100
85,29220,26.9548662,52.73158046,100
85,29240,26.90466686,52.74940231,100
85,29260,26.85054942,52.59694227,100
85,29280,26.81056526,52.49014875,100
85,29300,26.75600776,52.59877224,100
85,29320,26.73049115,52.61683619,100
85,29340,26.67803934,52.24043624,100
85,29360,26.64101115,51.90394708,100
85,29380,26.53217721,52.57365742,100
85,29400,26.45552695,53.80840569,100
85,29420,26.46709861,54.522774,100
85,29440,26.46540033,54.37068619,100
85,29460,26.44809426,54.71542126,100
85,29480,26.41765305,56.45995542,100
85,29500,26.4743176,56.96391795,100
85,29520,26.54422795,56.52559471,100
85,29540,26.57286299,57.1506662,100
85,29560,26.56436654,57.24687978,100
85,29580,26.59613317,57.29168662,100
85,29600,26.60486717,57.37933571,100
85,29620,26.60048992,56.86099274,100
85,29640,26.61613517,56.92599935,100
85,29660,26.62342357,57.27065202,100
85,29680,26.64156526,57.25311965,100
85,29700,26.67164793,56.9444869,100
85,29720,26.69675071,55.58432868,100
85,29740,26.73673854,54.6604578,100
85,29760,26.75873663,54.21298116,100
85,29780,26.80516431,53.75414372,100
85,29800,26.82404086,53.81022346,100
85,29820,26.86764442,53.75640588,100
85,29840,26.85843449,53.67127547,100
85,29860,26.8527506,53.96216578,100
85,29880,26.87918305,53.81633728,100
85,29900,26.9196697,54.08364078,100
85,29920,26.96581453,53.37972501,100
85,29940,26.96801892,52.46481638,100
85,29960,26.91958293,52.57719649,100
85,29980,26.95544596,53.35102311,100
85,30000,27.07849078,53.66956828,100
85,30020,27.13665454,54.02185264,100
85,30040,27.16989515,53.52594604,100
85,30060,27.15294336,53.4303181,100
85,30080,27.10837149,53.3100617,100
85,30100,27.07430062,53.04844285,100
85,30120,27.06274908,52.81829513,100
85,30140,27.05683008,52.10685041,100
85,30160,27.007906,52.15935914,100
85,30180,26.97977117,51.33551992,100
85,30200,26.96094896,50.85720225,100
85,30220,26.9096676,50.92931926,100
85,30240,26.84224331,50.77379324,100
85,30260,26.85673112,50.5249777,100
85,30280,26.82672858,50.3149157,100
85,30300,26.82690341,50.24425824,100
85,30320,26.81845846,49.99624561,100
85,30340,26.83462778,50.13971982,100
85,30360,26.84482901,49.96281747,100
85,30380,26.89786191,49.85180307,100
85,30400,26.9057143,50.02605631,100
85,30420,27.31774689,51.17394861,100
85,30440,27.33791383,51.16090407,100
85,30460,27.33788015,52.36677868,100
85,30480,27.33918936,52.79392065,100
85,30500,27.34338415,52.58251036,100
85,30520,27.30441863,52.48325859,100
85,30540,27.28106656,52.46132377,100
85,30560,27.27620396,52.39177093,100
85,30580,27.25287424,51.77451625,100
85,30600,27.17844898,51.8076915,100
85,30620,27.14132148,51.42841662,100
85,30640,27.09969376,51.39188184,100
85,30660,27.06270422,51.26823481,100
85,30680,27.01235736,51.28503121,100
85,30700,26.95741363,51.12745784,100
85,30720,26.91469363,50.99112238,100
85,30740,26.8621041,51.11169208,100
85,30760,26.8357994,51.1323366,100
85,30780,26.78597354,50.70097475,100
85,30800,26.74686989,50.31879666,100
85,30820,26.62867872,51.08417991,100
85,30840,26.54881651,52.49413031,100
85,30860,26.56573174,53.31055124,100
85,30880,26.57271943,53.13554612,100
85,30900,26.55496487,53.53429097,100
85,30920,26.52017492,55.52685382,100
85,30940,26.58695821,56.10162051,100
85,30960,26.67685576,55.59710824,100
85,30980,26.71184342,56.31028518,100
85,31000,26.70570461,56.42381499,100
85,31020,26.75236648,56.47621328,100
85,31040,26.76389582,56.57400272,100
85,31060,26.76984562,55.97922979,100
85,31080,26.78986877,56.04757069,100
85,31100,26.79819837,56.34145945,100
85,31120,26.81893173,56.2892796,100
85,31140,26.85331192,56.20441361,100
85,31160,26.88688177,55.23923278,100
85,31180,26.94401072,54.61195177,100
85,31200,26.98153234,54.32435942,100
85,31220,27.03542588,53.99521187,100
85,31240,27.05866574,54.11525539,100
85,31260,27.10587934,53.882321,100
85,31280,27.09535371,53.79455292,100
85,31300,27.08552449,53.79009422,100
85,31320,27.09656634,53.6722426,100
85,31340,27.13200347,53.80154184,100
85,31360,27.16331184,52.94468573,100
85,31380,27.14868829,52.06455206,100
85,31400,27.0791662,52.09417694,100
85,31420,27.07431919,52.74164546,100
85,31440,27.16756089,52.90569708,100
85,31460,27.20153376,53.40711731,100
85,31480,27.22273731,53.2403669,100
85,31500,27.20479241,53.11322069,100
85,31520,27.15242456,53.16268957,100
85,31540,27.11348643,52.95774422,100
85,31560,27.09802276,52.63757539,100
85,31580,27.07875818,51.93044809,100
85,31600,27.02284496,51.74402949,100
85,31620,26.97235753,51.02630848,100
85,31640,26.94965596,50.67132638,100
85,31660,26.90878679,50.76207916,100
85,31680,26.76827807,50.94862084,100
85,31700,26.79352604,50.73926022,100
85,31720,26.77042791,50.50157033,100
85,31740,26.7736039,50.42200941,100
85,31760,26.76942871,50.24094737,100
85,31780,26.7968365,50.43467979,100
85,31800,26.81468554,50.24202948,100
85,31820,26.88279457,50.10920351,100
85,31840,26.89891158,50.31549293,100
85,31860,27.47742501,51.89879841,100
85,31880,27.50487771,51.88269988,100
85,31900,27.51424398,52.96560421,100
85,31920,27.51431165,53.59305217,100
85,31940,27.52315332,53.39905946,100
